央视,#genre#
CCTV1,https://smt.passwdword.xyz/Smart.php?id=cctv1
CCTV2,https://smt.passwdword.xyz/Smart.php?id=cctv2
CCTV3,https://smt.passwdword.xyz/Smart.php?id=cctv3
CCTV4,https://smt.passwdword.xyz/Smart.php?id=Cctv4
CCTV4,https://smt.passwdword.xyz/Smart.php?id=cctv4
CCTV5,https://smt.passwdword.xyz/Smart.php?id=cctv5
CCTV5,https://smt.passwdword.xyz/Smart.php?id=cctv5
CCTV5+,https://smt.passwdword.xyz/Smart.php?id=cctv5plus
CCTV5+,https://smt.passwdword.xyz/Smart.php?id=cctv5plus
CCTV6,https://smt.passwdword.xyz/Smart.php?id=cctv6
CCTV6,https://smt.passwdword.xyz/Smart.php?id=cctv6
CCTV7,https://smt.passwdword.xyz/Smart.php?id=cctv7
CCTV8,https://smt.passwdword.xyz/Smart.php?id=cctv8hd
CCTV9,https://smt.passwdword.xyz/Smart.php?id=cctv9hd
CCTV10,https://smt.passwdword.xyz/Smart.php?id=cctv10hd
CCTV11,https://smt.passwdword.xyz/Smart.php?id=cctv11
CCTV12,https://smt.passwdword.xyz/Smart.php?id=cctv12
CCTV13,https://smt.passwdword.xyz/Smart.php?id=cctv13
CCTV14,https://smt.passwdword.xyz/Smart.php?id=cctv14
CCTV15,https://smt.passwdword.xyz/Smart.php?id=cctv15
CCTV16,https://smt.passwdword.xyz/Smart.php?id=cctv16
CCTV17,https://smt.passwdword.xyz/Smart.php?id=cctv17
卫视,#genre#
湖南卫视,https://smt.passwdword.xyz/Smart.php?id=hunan_twn
浙江卫视,https://smt.passwdword.xyz/Smart.php?id=zhejiang_twn
东方卫视,https://smt.passwdword.xyz/Smart.php?id=dongfangweishi_twn
北京卫视,https://smt.passwdword.xyz/Smart.php?id=beijing
江苏卫视,https://smt.passwdword.xyz/Smart.php?id=jiangsu_twn
四川卫视,https://smt.passwdword.xyz/Smart.php?id=sichuan_twn
东南卫视,https://smt.passwdword.xyz/Smart.php?id=fujian
深圳卫视,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=SZTV
深圳卫视,https://ofiii.passwdword.xyz/mytv265.php?id=SZTV
深圳卫视,https://smt.passwdword.xyz/Smart.php?id=shenzhen
广东卫视,https://smt.passwdword.xyz/Smart.php?id=guangdongweishi_twn
广西卫视,https://smt.passwdword.xyz/Smart.php?id=guangxi
湖北卫视,https://smt.passwdword.xyz/Smart.php?id=hubei
海峡卫视,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=FJTV
海峡卫视,https://ofiii.passwdword.xyz/mytv265.php?id=FJTV
asia,#genre#
凤凰中文,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=PCC
凤凰中文,https://ofiii.passwdword.xyz/mytv265.php?id=PCC
凤凰中文,https://smt.passwdword.xyz/Smart.php?id=phoenixtv_hd
凤凰资讯,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=PIN
凤凰资讯,https://ofiii.passwdword.xyz/mytv265.php?id=PIN
凤凰资讯,https://smt.passwdword.xyz/Smart.php?id=phoenixinfo_hd
凤凰香港,https://smt.passwdword.xyz/Smart.php?id=hkphoenix_twn
RTHK 31,https://smt.passwdword.xyz/Smart.php?id=rhk31_twn
RTHK 32,https://smt.passwdword.xyz/Smart.php?id=rhk32_twn
TVB翡翠,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=J
TVB翡翠,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=JUHD
TVB翡翠,https://ofiii.passwdword.xyz/mytv265.php?id=J
TVB翡翠,https://ofiii.passwdword.xyz/mytv265.php?id=JUHD
TVB翡翠,https://smt.passwdword.xyz/Smart.php?id=jade_twn
TVB翡翠,https://smt.passwdword.xyz/Smart.php?id=Jade_xue
TVB星河,https://smt.passwdword.xyz/Smart.php?id=Xinhe
TVB Plus,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=B
TVB Plus,https://ofiii.passwdword.xyz/mytv265.php?id=B
TVB Plus,https://smt.passwdword.xyz/Smart.php?id=j2_twn
TVBS,https://4gtvmobile-mozai.4gtv.tv/Sl_vWxTc_c7WcehQMG40vPaNx1wyVDZp-J3trT2jjqk%3d/index.m3u8?token=cE0Y0Eup34LL1J9Y0_T4fA&expires=1764569282&token1=nFBMRI8-iq0oTg5yk4dbdQ&expires1=1764569282&refer=NTA0NDRlOTItN2M2Zi00ODYxLThlNzItZDg5YTUzMjNjNzk5&y=0
TVBS,https://smt.passwdword.xyz/Smart.php?id=tvbs
TVBS欢乐台,https://4gtvmobile-mozai.4gtv.tv/UY0uBY2zCaI0_98OTov-fTp6VA30Kmdm5SUrSp2947w%3d/index.m3u8?token=F8-RbgkL_HgITircywtC4w&expires=1764569351&token1=pucHs2VwZUpKNijNUyULWQ&expires1=1764569351&refer=Yzc5MjgyMDktNzM4Ni00N2U0LTg3YTItNzBjNmM5YWMxYTg1&y=0
TVBS欢乐台,https://smt.passwdword.xyz/Smart.php?id=tvbshuanle_twn
TVBS新闻台,https://4gtvmobile-mozai.4gtv.tv/_BqKz4NJmYa9jZaK3cfuXJByfpQP9FxOPZawciD-y4M%3d/index.m3u8?token=yPG0jTdhM__GXvk1FDGFiA&expires=1764569214&token1=UKOKHjx_OHN4w2ttfdtSJQ&expires1=1764569214&refer=ZWJlZTNhZDYtNWM1My00NzM0LTk4NzEtZDNhNWJkMDNjOGQz&y=0
TVBS新闻台,https://4gtvmobile-mozai.4gtv.tv/Jf_SfFIzU-Fiz8IUPmerLAPzi54CwYh-n073b8af8CQ%3d/index.m3u8?token=3tcWpoj_heydxx5DhXQTCw&expires=1764569845&token1=sUrs32CBQJLqg_5v5TKJ1Q&expires1=1764569845&refer=YjFjYjFkYzItMDVlOS00ZWFmLWIwNzUtMjlmNGVlOTU2ZDA2&y=0
TVBS新闻台,https://smt.passwdword.xyz/Smart.php?id=tvbs_n
TVBS精采台,https://4gtvmobile-mozai.4gtv.tv/UwfloTF6yZyT9Vmyy_TxGqhOyRxFaOajMp-32YSSWX4%3d/index.m3u8?token=3Wf_8uSQ0nxyWLjzecILuA&expires=1764569009&token1=4YWq-MVu6nAtzPmK-JS-RQ&expires1=1764569009&refer=NmJmOThmNDMtNTIwNS00NDRiLTg4OWMtNzQxNjViYzM4ZGE0&y=0
TVBS食尚玩家,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=ofiii31
TVBS台劇台,https://4gtvmobile-mozai.4gtv.tv/ZEkYFd74ueJY9S44PpHe07-6nxYnAuwUjfDriwOMWMs%3d/index.m3u8?token=DxNVddhaICTvSFVpvn8opQ&expires=1764569852&token1=02Vy9RfiIFgvaO95lI_crg&expires1=1764569852&refer=NjA3ODdkYmQtZTY1YS00NWYxLWJkNTUtMDY0YTkyNzBhODlm&y=0
ViuTV,https://smt.passwdword.xyz/Smart.php?id=viu1_twn
ViuTV,https://smt.passwdword.xyz/Smart.php?id=viusix_twn
明珠台,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=P
明珠台,https://ofiii.passwdword.xyz/mytv265.php?id=P
明珠台,https://smt.passwdword.xyz/Smart.php?id=pearl_twn
爱尔达影剧台,https://smt.passwdword.xyz/Smart.php?id=eltayingju_twn
爱尔达综合台,https://smt.passwdword.xyz/Smart.php?id=eltazonghe_twn
愛爾達生活旅遊台,https://4gtvmobile-mozai.4gtv.tv/VWNQxnmdTK_Uq6YTyfUatAbLFGYejCvWn-s3yI6EuzA%3d/index.m3u8?token=qivnnqZx0zt18SPhVxeqsA&expires=1764569553&token1=8EoWP_F_R3Nz6iU6aoaY9Q&expires1=1764569553&refer=OWM2Mzg0YWEtNWEwYy00MGFlLWFlOWEtNWNkMmIwMmZhM2Iy&y=0
Dreamworks,https://4gtvmobile-mozai.4gtv.tv/1FVhSUJ9YyeLrWpucd3SPdstBVV6hXwkexsLU0GgKZg%3d/index.m3u8?token=1YoE3ajenL0wVe_FsETNIg&expires=1764569128&token1=pl7pBDkrXGTxNSp8qogXCQ&expires1=1764569128&refer=MWY5OThhMTctY2ViOS00NDk5LTgwNWItMDg3ZGM4ZjdmMjNk&y=0
ELTV生活英語台,https://4gtvmobile-mozai.4gtv.tv/guuzL4uR5r1n9OCZCufdMghZ2GsBZsWj2hDaeUZZhgM%3d/index.m3u8?token=rzcVhLjWa9h89H1NTfhpyQ&expires=1764569102&token1=u48Wl4wk0Vm-mtcEh5fnuA&expires1=1764569102&refer=NzhjNDZiNGQtYTZhMC00MjA3LTgyNzAtNzAwMGQ3NmY0ZGQ2&y=0
ELTV生活英語台,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=litv-longturn20
History,https://4gtvmobile-mozai.4gtv.tv/FUB4h-j73P_V49Xv_lZcjezrlwfUujHMAVOdlWnBMQA%3d/index.m3u8?token=2Zy2ILgANRkksR0dXc3NLA&expires=1764569543&token1=OF3_alRWfMRwlHFC2uvx6g&expires1=1764569543&refer=MDU0NDAwYTktMzZmNy00NWE0LWI1MjAtZjkyN2ZmYTU4YzUz&y=0
Hits,https://4gtvmobile-mozai.4gtv.tv/Qeg7tIWO5hymSVls8wzs8cl0a4RCgs90NCspPUqTlBs%3d/index.m3u8?token=SmRtvFTIDvoRnTgNGQOtPQ&expires=1764569604&token1=xNQF5Z5mY92zyLrzAbTHDg&expires1=1764569604&refer=MzhlNDM1OGEtY2NkNi00OTBkLWI1YTktY2VmODBjMjU3ZmE1&y=0
Nick Jr,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=ofiii218
Nick Jr,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=CNIKO
Nick Jr,https://mytvsuper.858.qzz.io/jump?url=https://mytv.passwdword.xyz/mytv265.php?id=CNIJR
Nick Jr,https://ofiii.passwdword.xyz/mytv265.php?id=CNIKO
Nick Jr,https://ofiii.passwdword.xyz/mytv265.php?id=CNIJR
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickelodeon
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickjr
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickelodeon
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickjr
