ipv4直播,#genre#
更新日期20251124,
央视,#genre#
中国天气,http://gslbmgsplive.miguvideo.com/migu/kailu/zgtq/51/20251103/index.m3u8?msisdn=202511240400323d7a958463164d1a9bc298ee8af684ea&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20251124040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=106.13.250.90&SecurityKey=20251124040032&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b2bbacfaddb3f4f5abc4d113709e9b3d&ddCalcu=db32ebb29b9ea09c0f7a3d1d1bd34fc4bfa5$在线IPV4『线路1』
中国天气,http://bxtv.3a.ink/migu.php?id=959986621$在线IPV4『线路2』
CGTN,https://smt.passwdword.xyz/Smart.php?id=CGTN$在线IPV4『线路1』
CGTN,https://tzh911.qzz.io/play-smt.php?id=CGTN$在线IPV4『线路2』
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=2025112404002775a21644b6f9440eaf4c8512849e1035&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251124040027&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251124040027&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e15b5688ff0e29cd97826d328e0d0ac9&ddCalcu=9ec1ea520b9d5006e8882f3fd06e22897c9d$在线IPV4『线路3』
CGTN,http://bxtv.3a.ink/migu.php?id=609017205$在线IPV4『线路4』
CHC影迷电影,http://gslbmgsplive.miguvideo.com/migu/kailu/chcymdy/51/20250415/index.m3u8?msisdn=202511240400320874eda0a47a454ab6eaf05ed911ddb4&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20251124040032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=106.13.250.90&SecurityKey=20251124040032&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=812084913266b7ba9aa847b471563cba&ddCalcu=a8b1ec2230268054197143b276468ba7ab9a$在线IPV4『线路1』
CHC影迷电影,http://bxtv.3a.ink/migu.php?id=952383261$在线IPV4『线路2』
CHC影迷电影,http://genglei.8866.org:9901/tsfile/live/1049_1.m3u8?key=txiptv$在线IPV4『线路3』
CHC家庭影院,http://bxtv.3a.ink/migu.php?id=644368373$在线IPV4『线路1』
CHC家庭影院,http://zhuoyue.sihanlin.top:9901/tsfile/live/1030_1.m3u8?key=txiptv$在线IPV4『线路2』
CHC家庭影院,http://genglei.8866.org:9901/tsfile/live/1050_1.m3u8?key=txiptv$在线IPV4『线路3』
卫视,#genre#
湖南卫视,https://smt.passwdword.xyz/Smart.php?id=hunan_twn$在线IPV4『线路1』
湖南卫视,https://tzh911.qzz.io/play-smt.php?id=hunan_twn$在线IPV4『线路2』
湖南卫视,http://118.193.105.26:9901/tsfile/live/0128_1.m3u8?key=txiptv$在线IPV4『线路3』
湖南卫视,http://123.113.110.212:9901/tsfile/live/0128_1.m3u8?key=txiptv$在线IPV4『线路4』
湖南卫视,http://101.74.29.127:9901/tsfile/live/0128_1.m3u8?key=txiptv$在线IPV4『线路5』
湖南卫视,http://zhuoyue.sihanlin.top:9901/tsfile/live/0128_1.m3u8?key=txiptv$在线IPV4『线路6』
湖南卫视,http://jiugong.wulinsy.cn:39901/tsfile/live/1006_1.m3u8?key=txiptv$在线IPV4『线路7』
湖南卫视,http://genglei.8866.org:9901/tsfile/live/1043_1.m3u8?key=txiptv$在线IPV4『线路8』
浙江卫视,https://smt.passwdword.xyz/Smart.php?id=zhejiang_twn$在线IPV4『线路1』
浙江卫视,https://tzh911.qzz.io/play-smt.php?id=zhejiang_twn$在线IPV4『线路2』
浙江卫视,http://118.193.105.26:9901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路3』
浙江卫视,http://123.113.110.212:9901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路4』
浙江卫视,http://101.74.29.127:9901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路5』
浙江卫视,http://zhuoyue.sihanlin.top:9901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路6』
浙江卫视,http://jiugong.wulinsy.cn:39901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路7』
浙江卫视,http://genglei.8866.org:9901/tsfile/live/0124_1.m3u8?key=txiptv$在线IPV4『线路8』
陕西卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/shan3xiws/51/20220809/index.m3u8?msisdn=2025112404002801832e602754403083b81cda0090b88c&mdspid=&spid=600633&netType=0&sid=5910020475&pid=2028597139&timestamp=20251124040028&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=738910838&ParentNodeID=-99&assertID=5910020475&client_ip=106.13.250.90&SecurityKey=20251124040028&promotionId=&mvid=5900004331&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8bac61091af742765553c438f39f61dc&ddCalcu=c8dbe1a26c8f609130f9813a4fc734525756$在线IPV4『线路1』
陕西卫视,http://bxtv.3a.ink/migu.php?id=738910838$在线IPV4『线路2』
陕西卫视,http://zhuoyue.sihanlin.top:9901/tsfile/live/0136_1.m3u8?key=txiptv$在线IPV4『线路3』
安徽卫视,http://118.193.105.26:9901/tsfile/live/0130_1.m3u8?key=txiptv$在线IPV4『线路1』
安徽卫视,http://123.113.110.212:9901/tsfile/live/0130_1.m3u8?key=txiptv$在线IPV4『线路2』
安徽卫视,http://101.74.29.127:9901/tsfile/live/0130_1.m3u8?key=txiptv$在线IPV4『线路3』
安徽卫视,http://zhuoyue.sihanlin.top:9901/tsfile/live/0130_1.m3u8?key=txiptv$在线IPV4『线路4』
安徽卫视,http://jiugong.wulinsy.cn:39901/tsfile/live/0130_1.m3u8?key=txiptv$在线IPV4『线路5』
安徽卫视,http://genglei.8866.org:9901/tsfile/live/1018_1.m3u8?key=txiptv$在线IPV4『线路6』
北京卫视,https://smt.passwdword.xyz/Smart.php?id=beijing$在线IPV4『线路1』
北京卫视,https://tzh911.qzz.io/play-smt.php?id=beijing$在线IPV4『线路2』
北京卫视,http://118.193.105.26:9901/tsfile/live/0111_1.m3u8?key=txiptv$在线IPV4『线路3』
北京卫视,http://101.74.29.127:9901/tsfile/live/0122_1.m3u8?key=txiptv$在线IPV4『线路4』
北京卫视,http://zhuoyue.sihanlin.top:9901/tsfile/live/0122_1.m3u8?key=txiptv$在线IPV4『线路5』
北京卫视,http://genglei.8866.org:9901/tsfile/live/0122_1.m3u8?key=txiptv$在线IPV4『线路6』
东方卫视,https://smt.passwdword.xyz/Smart.php?id=dongfangweishi_twn$在线IPV4『线路1』
东方卫视,https://tzh911.qzz.io/play-smt.php?id=dongfangweishi_twn$在线IPV4『线路2』
